	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
CNSOMF0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
CNSOMS0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
CSOM0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20
FCSOMF0	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.718503341	0.293554752	0.293554752	0.293554752	0.293554752	0.293554752	0.293554752	0.293554752	0.293554752	0.293554752	0.293554752	0.293554752	0.293554752	0.293554752	0.293554752
NMIN0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
FLITTSOMF	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543	0.760120543
FSOMFSOMS	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713	0.01968713
FWCAD	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
FWCFC	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026	0.655777026
FWCWET	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
FWCWP	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875	0.468598875
KNEMIT	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174	0.000392174
KRUNOFF	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
RNLEACH	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.946954881	0.21367527	0.21367527	0.21367527	0.21367527	0.21367527	0.21367527	0.21367527	0.21367527	0.21367527	0.21367527	0.21367527	0.21367527	0.21367527	0.21367527
ROOTD	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268	0.703073268
RRUNBULK	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
SLOPE	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
TCLITT	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	305.6741876	949.741245	949.741245	949.741245	949.741245	949.741245	949.741245	949.741245	949.741245	949.741245	949.741245	949.741245	949.741245	949.741245	949.741245
TCSOMF	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	3031.716837	8998.294914	8998.294914	8998.294914	8998.294914	8998.294914	8998.294914	8998.294914	8998.294914	8998.294914	8998.294914	8998.294914	8998.294914	8998.294914	8998.294914
TCSOMS	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	41171.47121	88979.84564	88979.84564	88979.84564	88979.84564	88979.84564	88979.84564	88979.84564	88979.84564	88979.84564	88979.84564	88979.84564	88979.84564	88979.84564	88979.84564
WCST	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859	0.683704859
CO2A	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
LAT	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9
IOMULT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NFERTMULT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RAINMULT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TPLUS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSINKPMAX0	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524	0.108150524
KSINKPMAX	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826	0.760854826
CBtree0(1)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CBtree0(2)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CBtree0(3)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CLtree0(1)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CLtree0(2)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CLtree0(3)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CRtree0(1)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CRtree0(2)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CRtree0(3)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CStree0(1)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
CStree0(2)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
